id,name,speciality,taste,medicine type,passing,have,effect
1235,jab det geix zangb佳豆给棕（威灵仙）,热,辛辣,热药,冷经,,性热、味辛辣、属热药、入冷经、疏风散寒、止痛
1236,dlieed lax jat写那架（骨碎朴）,热,麻辣,热药,冷经,,强筋壮骨、温通止痛
1237,hsob hxangt嗟尚（大血藤）,冷,苦,冷药,热经,,活血补血
1238,山葡萄疏筋活络,,,,,,驱风除湿
1239,det vob lax豆葛纳（穿破石）,平,淡、微苦,两经药,,,祛风利湿、散瘀止痛
1240,jab eb wof佳欧芜（党参）,热,甜,热药,冷经,,补血补气
1241,ghab jiongx ghab link det ghab dlul嘎炯嘎令豆嘎收（铁筷子）,热,麻、辣,热药,冷经,,hxub hxad kib reb zaok旭嘎凯任早（清热润燥）、tit bongt ghangb yub替笨夯宇（理气开郁）
1242,岩川芎,,,,,,行气止痛
1243,baodjab nail eb鲍家利幼（制草乌）,热,麻,热药,冷经,大毒,祛风止痛、温中回阳、祛寒除湿
1244,vob qangd niul萬强牛（续断）,热,甜,热药,冷经,,bud diuf khand vut sand布丢汗吴汕（补肝肾）、bud hsongd布冲（补骨）
1245,bel jal feib布佳菲（阎王刺）,冷,苦、涩,冷药,热经,,dias jent caf nef滇劫滁内（祛风除湿）tad jab yangk angt沓痂泱安（解毒消肿）
1246,jab det geix zangb佳豆给棕（威灵仙）,热,辛辣,热药,冷经,,dias jent caf net滇劫滁内、ceix loud dangf mongb赊洛挡蒙
1247,det vob gangb jab fongx yul豆萬岗佳菲幼（寄生）,冷,苦、微甜,冷药,热经,,补肝肾、强筋骨、 祛风湿
1248,jab bangx gangb佳榜岗（苕叶细辛）,热,辣,热药,冷经,小毒,tad biaox zangl seil沓标漳射（发表散寒）
1249,香樟根,,,,,,芳香顺气
1250,vob det hlat葛豆刹（红禾麻）,冷,苦,冷药,热经,,dias jent caf net滇劫滁内（祛风除湿）、ves hxangd yangx diod hxangd维象律丢象（活血化瘀）
1251,jab hxend yat佳生幼（三角枫）,冷,苦,冷药,热经,,dias jent tad jab滇劫沓痂（祛风解毒）、yangk angt dangf mongb泱安挡蒙（消肿止痛）
1252,ghab bas leut dlaib嘎罢又赊（黑骨藤）,热,苦,热药,冷经,毒hxab kib tad jab旭嘎凯沓痂（清热解毒）,ves hxangd yangx diod hxangd维象律丢象（活血祛瘀）
1253,ghod menl ghumb阿梅棍（苦养头）,冷,酸、苦,冷药,热经,,清热解毒、祛瘀排脓、消肿止痛、利咽
1254,gangb dlok zat岗馒蚱（土鳖虫）,热,咸,热药,冷经,小毒,sul hxangl diod hxangd素象底象（活血化瘀）、niox ghad hxangd dongf mongb扭哈象挡象（通经止痛）
1255,杨柳根,,,,,,清热止痛
1256,香樟根,,,,,,芳香顺气
1257,生姜,,,,,,辛湿祛寒
1258,糯米,,,,,,收敛
1259,草灰,,,,,,除湿
1260,葱头,,,,,,清热利湿
1261,桂枝,,,,,,辛温利湿
1262,jab ngol xid佳莪淸（淫羊藿）,热,辣、甜,热药,冷经、快经、半边经,,pud diuf布丢（补肾）、jongl dail hsongd炯带松（强筋骨）、vas net dias jent洼内滇劫（祛风除湿）
1263,倒触伞根,,,,,,清热除烦
1264,zenb det mongx珍豆蟒（路路通）,冷,苦,冷药,热经,,dias jent seix loud滇劫赊洛（祛风通络）
1265,ghab jongx bel sob xok gax bas嘎龚布梭学嘎八（见血飞）,冷,苦,冷药,热经,,dias jent dangf mongb滇劫挡蒙（祛风止痛）、zangl diod hxangd yangk angt滇丢象样安（散瘀止血）、yangk angt tad jab泱安沓痂（消肿解毒）
1266,bel jal feib布佳菲（阎王刺）,冷,苦、涩,冷药,热经,,dias jent caf nef滇劫滁内（祛风除湿）tad jab yangk angt沓痂泱安（解毒消肿）
1267,jab det geix zangb佳豆给棕（威灵仙）,热,辛辣,热药,冷经,,性热、味辛辣、属热药、入冷经、dias jent caf net 滇劫滁内、ceix loud dangf mongb 赊洛挡蒙
1268,vob bel diangd萬'布当（五加皮）,热,辛,热药,冷经,,dias jent caf net滇劫滁内（祛风除湿）、ves hxid jongt dail hsongd维洗炯带松（强筋壮骨）
1269,zend fab hxub珍发秋（木瓜）,冷,酸、涩,冷药,热经,,hxub hxab sand fangx旭嘎汕仿（平肝）、vex hxid维洗（疏筋）、caf net滁内（除湿）
1270,jab jex liux加九留（四块瓦）,热,辣,热药,冷经,,zangl seil dangf ngol 漳射挡蒙（散寒止痛）、vex hxangd dongd mongb维象挡蒙（活血止痛）、dias diod hxangf tat jab滇丢象沓痂（散瘀解毒）
1271,baod zangd ghcnd dad苞姜给打（茯苓）,热,甜,热药,冷经,,vas ebcaf net洼沃除内（利水渗湿）、maix diangl maix ves hxed麦靓麦韦荷相（健脾补中）
1272,zend ded珍陡（慧仁米）,平,甜、淡,两经药,,,maix dliangl maix ves nait麦靓麦韦芳（健脾）、vas net洼内（利湿）、hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）
1273,jab lob gheid佳劳给（马鞭草）,冷,苦、涩,冷药,热经,,hxub hxab kib caf net旭嘎凯滁内（清热利湿）、ves hxangd yangx diod hxangd维象洋丢象（活血化瘀）
1274,枫树叶,,,,,,驱风除湿、止痛
1275,jab ghangb nen goix佳嘎陇给（徐长卿）,热,香、麻,热药,冷经、快经、半边经,,tad jab yangk angt沓痂泱安（解毒消肿）seix loud ves loud赊洛维洛（通经活络）
1276,nagnx dlob ghat仰嗟嘎（鸡血藤）,热,甜、微苦,热药,冷经,,hxub hxab kid caf net旭嘎凯滁内（清热利湿）
1277,det vob gangb豆萬岗（桑枝）,冷,苦,冷药,热经,,祛风除湿、通经络、利关节、行水消肿
1278,gheib jab let姬佳诺（阳雀花）,热,淡甜、微辛,热药,冷经,,bud bongt yis hxent布笨怡渥（补气养阴）
1279,vob yuk jab hlieb萬有加溜（狗脊）,冷,苦、微甜,冷药,热经,,dias jent caf net滇劫滁内（祛风除湿）、dangf mongd hxend hsongd挡蒙兴冲（止痛强筋）
1280,det dent豆顿（杜仲）,热,甜,热药,冷经,,bud sand bud diuf补汕补丢（补肝肾）Jongt dail hsongd炯带松（壮筋骨）
1281,vob bex teb xot萬布套学（血人参）,热,涩、微苦,热药,冷经,,滋阴补肾、补气
1282,vob hmid niangx菖米仰（马齿菟）,冷,酸、微苦涩,冷药,热经,,hxub hxab kib caf net旭嘎凯滁内（清热利湿）
1283,jab ob bit jit nex佳萬遍尖脑（半枝莲）,冷,苦,冷药,热经,,hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）、ves hxangd yangx diod hxangd维象烽丢象（活血祛瘀）、zahgl zent dangf mongb漳砧挡蒙（消肿止痛）
1284,vob lox萬拿（刺桑）,冷,苦,冷药,热经,,dias jent scix loud滇劫赊洛（祛风通洛）jab yangk angt沓痂泱安（解毒消肿）
1285,金丝桃,,,,,,清热利湿
1286,vob hkok hlieb萬壳溜（泽兰）,冷,苦,冷药,热经,,活血祛瘀、解毒消肿
1287,hsob hxangt嗟尚（大血藤）,冷,苦,冷药,热经,,sid hxangl seix loud素象赊洛（活血通经）、dias jent caf net滇劫滁内（祛风除湿）
1288,jab ghab ngenx佳嘎旅（生扯拢）,冷,苦,冷药,热经,,dias jent caf net滇劫滁内（祛风除湿）、seix loud dangf mongb赊洛挡蒙（通络止痛）
1289,麻黄,,,,,,收敛、发汗、止咳平喘
1290,vob dak dlangl bab菖达赊巴（射干）,冷,苦,冷药,热经,,清热解毒、祛痰利咽
1291,kodlas科辣（制半夏）,热,麻、辣,热药,冷经,,yangx nex diasghab ngal泱内滇哈格（燥湿化痰）
1292,vob gend mal萬庆玛（紫莞）,热,甜、微辛,热药,冷经,,润肺止咳
1293,ghab jongd aend ghangd yut嘎龚真宫幼（五味子）,冷,苦,冷药,热经,,收敛肺气
1294,zend mangb珍蟒（杏仁）,冷,苦,冷药,热经,小毒,止咳平喘、润肺通便
1295,kod las科辣（半夏）,热,麻、辣,热药,冷经,毒,yangx nex diasghab ngal泱内滇哈格（燥湿化痰）
1296,vob jex bib bad萬祖别芭（白前）,冷,苦、微辣,冷药,热经,,pot wqs jent hxub hxab kid迫渥劫旭嘎凯（散风清热）、baix bongt jul ghad ngol摆笨阶哈格（降气化痰）
1297,bes sok芍药（白芍）,冷,苦,冷药,热经,,养血柔肝、收敛肺气
1298,vob gent bib 梗比（鹅不食草）,热,辣,热药,冷经,,datwos jent zangl seil迫渥劫漳射（通窍散寒）、dias jent caf net滇劫除内（祛风除湿）、
1299,Vob hangt ghad萬项嘎（鸡矢藤）,热,甜、微涩,热药,冷经,,健脾祛痰
1300,ghab ngid vud嘎欧低（苏子）,热,辛,热药,冷经,,hangb bongt沆笨（行气）、dias ghab ngol xeeb hfod nais pob滇哈格卸复奈波（化痰利肺）
1301,jab bangx gangb佳榜岗（细辛）,热,辣,热药,冷经,小毒,tad biaox zangl seil沓标漳射（发表散寒）、dias ghab ngol dangf ngol滇哈格挡苟（化痰止咳）°
1302,gherb nex jenl vieeb肝努净菸（岩IE豆）,冷,苦,冷药,热经,,hxub hxad kib tad biaox旭嘎凯沓标（清热解表）、xeeb hfad nais pob dongf ngol卸复奈波挡苟（宣肺止咳）
1303,bongt nial tid榜拉梯（枇杷叶）,冷,苦,冷药,热经,,hxub hxab kib caf net旭嘎凯滁内（清热利湿）、止咳
1304,vob hob dlub萬哈收（地蜂子）,冷,苦,冷药,热经,,hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）、quk liand dangt hxangd苣敛挡象（收敛止血）
1305,vob jux bix yut萬久碧幼（一朵云）,热,甜、淡,热药,冷经,,red hfad nais pot dangf ngol任复奈波挡苟（润肺止咳）
1306,zend mangb珍蟒（杏仁）,冷,苦,冷药,热经,小毒,止咳平喘、润肺
1307,nang vob ob yut朗萬跃（小二仙草）,冷,苦,冷药,热经,,dangt ngol dangt xangt挡苟挡靳（止咳平喘）、hxub hxab kib cat net旭嘎凯滁内（清热利湿）
1308,zend mangb 珍蟒（杏仁）,冷,苦,冷药,热经,小毒,止咳平喘、润肺
1309,jab zend ghab nex waix佳珍嘎佬苑（果上叶）,热,甜、淡,热药,冷经,,yis hvent tit hfud nais pob怡渥替复奈波（养阴清肺）、dias ghab ngol dangt ngol滇哈格挡苟（化痰止咳）
1310,ghab hnid vud嘎欧底（紫苏）,热,辛,热药,冷经,,dias ghab ngol xeeb hfud nais pob滇哈格卸复奈波（化痰利肺）、sul hxangl kxed dionb素象荷相（活血温中）
1311,vob ghad dail lix萬嘎得里（百部）,冷,苦、微甜,冷药,热经,,润肺止咳、降气化痰
1312,kod las科辣（制半夏）,热,麻、辣,热药,冷经,,yangx nex diasghab ngal泱内滇哈格（燥湿化痰）、hangs bongt dangf od沆笨挡阿（降逆止呕）
1313,vob dak dlangl bab萬达赊巴（射干）,冷,苦,冷药,热经,,止咳平喘
1314,zend nex niangb珍佬良（叶上果）,热,苦、辣,热药,冷经,,ves hxangd yangx diod hxangd维象烽丢象（祛痰化瘀）、hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）
1315,vob jux bix yut萬久碧幼（一朵云）,热,甜、淡,热药,冷经,,red hfad nais pot dangf ngol任复奈波挡苟（润肺止咳）
1316,jab toil lik jib佳洛利吉（矮地茶）,冷,苦,冷药,热经,,活血化瘀、止咳平喘
1317,gherb nex jenl vieeb肝努净菸（岩2E豆）,冷,苦,冷药,热经,,hxub hxad kib tad biaox旭嘎凯沓标（清热解表）、xeeb hfad nais pob dongf ngol 卸复奈波挡苟（宣肺止咳）、maix diangl maix ves nait hx- ib nongx麦靓麦韦芳洗侬（健脾消积）
1318,dlieed lax jat写那架（骨碎朴）,热,麻辣,热药,冷经,,止咳
1319,det nis豆烈（铁包金）,冷,苦,冷药,热经,,驱风除湿、清热解毒
1320,vob jux bix yut萬久碧幼（一朵云）,热,甜、淡,热药,冷经,,red hfad nais pot dangf ngol任复奈波挡苟（润肺止咳）
1321,zend jab ngil diongd珍加莪董（麦冬）,热,甜,热药,冷经,,khangd vut hvent qeb jind汗吾渥曲靳（滋阴生津）、red hfad nais pot任复奈波（润肺止咳）
1322,ngix gheib ghob bad 额给戈罢（桔梗）,冷,苦、微辛,冷药,热经,,xeeb hgad nais pob卸复奈波（宣肺）、zangl seil漳射（散寒）dias ghab ngol滇哈格（祛痰）
1323,vob jex bib bad萬祖别芭（白花前胡）,冷,苦、微辣,冷药,热经,,pot wos jent hxub hxab kid迫渥劫旭嘎凯（散风清热）、baix bongt jul ghad ngol摆笨阶哈格（降气化痰）、止咳
1324,jab ghad nail佳格勒（紫背天葵）,冷,涩,冷药,热经,,
1325,zangd jangx珍姜（木姜子）,热,辛、微辣,热药,冷经,,顺气、 止痛
1326,baod jiox sangx苞脚桑（地苦胆）,冷,苦,冷药,热经,,hxub hxab kid tad jab旭嘎凯沓痂（清热解毒）
1327,vob hangt ghat萬'项嘎（鸡矢藤）,热,甜、微苦,,,,祛风利湿
1328,ghab jongd aend ghangd yut 嘎龚珍宫幼（五香血藤）,冷,苦,冷药,热经,,tit bongt dangb mongb替乓挡蒙（顺气止痛）、sul hxangl yangx angt素象（生血）
1329,隔山撬,,,,,,消食化积、诸药合用清热除湿、止痛
1330,niangx ongs bat仰松芭（香附）,热,微甜,热药,冷经,,tit bongt ves sand替笨维汹（理气疏肝）、dongb mongb挡蒙（止痛）
1331,det kaf ved豆卡欧（吴萸）,热,辣、麻,热药,冷经、慢经,小毒,hxed dionb荷桐（温中）、zaok net造类（燥湿）、sand baix dul汕渣都（疏肝）
1332,香樟根,,,,,,芳香顺气
1333,det zend veeb豆姜额（苦楝）,冷,苦、涩,冷药,热经,,疏肝
1334,山乌龟,,,,,,止腹痛
1335,vob jut eb菖久欧（水三七）,冷,苦,冷药,热经,,hxub hxab kid tad jab旭嘎凯沓痂（清热消肿）、zangl diod hxangd dangf mongb漳丢象挡蒙（散瘀止痛）
1336,det kaf ved 豆卡欧（吴萸）,热,辣、麻,热药,冷经、慢经,小毒,hxed dionb荷桐（温中）zakgl seil漳射（散寒）、zaok net造类（燥湿）
1337,bongt nial tid榜拉梯（地枇杷）,冷,苦,冷药,热经,,hxub hxah kib caf net旭嘎凯滁内（清热利湿）
1338,jab mongb hxangb佳蒙枪（青木香）,冷,苦,冷药,热经,,dias jent dangt mongb滇劫挡蒙（理气止痛）
1339,ghab jiongb liul panb hlob嘎炯令潘闹（太子参）,热,甜、微苦,热药,冷经,,补气生津、健脾
1340,良姜,,,,,,温中散寒止痛
1341,vobhsongdghand萬冲岗（白花蛇舌草）,平,淡、微甜,两经药,,,vas eb yangk angt洼欧泱安（利湿止痛）
1342,ghab jongd aend ghangd yut嘎龚珍宫幼（五香血藤）,冷,苦,冷药,热经,,tit bongt dangb mongb替乓挡蒙（顺气止痛）
1343,厚朴,,,,,,宽胸理气
1344,zend sob珍莎（花椒）,热,麻、辣,热药,冷经,,hxed fub zangl seil荷迄漳射（温中散寒）、cafnet滁内（燥湿）
1345,jab eb wof佳欧芜（党参）,热,甜,热药,冷经,,yis gub bud bongt 怡迄布笨（补中益气）、maix diangl maix ves nait 麦靓麦韦芳（健脾）
1346,vob ghanb nail 萬嘎勒（蜘蛛香）,热,麻、辣,热药,冷经,,tit bongt dangf mongb替笨档蒙（理气止痛）
1347,桂枝,,,,,,辛温利湿
1348,kaid凯（干姜）,热,辛、辣,热药,冷经,,温中散寒、化湿、回阳通脉
1349,jab box vib佳保耶（石菖蒲）,热,麻、辣,热药,冷经,,dias ghab ngal ghangb yub滇哈格夯宇（开窍）、sul qub素迄（健胃）
1350,vob ghanb nail萬嘎勒（蜘蛛香）,热,麻、辣,热药,冷经,,tit bongt dangf mongb替笨挡蒙（理气止痛）、kod las科辣（制半夏）、性热、味麻、辣、属热药、入冷经、yangx nex diasghab ngal泱内滇哈格（燥湿行气）、hangs bongt dangf od沆笨挡阿（降逆止呕）
1351,jab mongb hx- angb佳蒙枪（青木香）,冷,苦,冷药,热经,,dias jent dangt mongb滇劫挡蒙（健胃止痛）、jat jab 沓痂（解毒）
1352,Det kaf ved豆卡欧（吴萸）,热,辣、麻,热药,冷经,,hxed dionb荷桐（温中）zakgl seil漳射（散寒）、zaok net造类（燥湿）、sand baix dul汕渣都（疏肝）
1353,nangx hsongb bat仰松芭（香附）,热,辛、微苦,热药,冷经,,tit bongt ves sand替笨维汹（理气疏肝）、dongb mongb挡蒙（止痛）
1354,vob dlaib not葛山落（乌药）,热,辛、微辣,热药,冷经,,hxed qub zangl seil荷迄漳射（温胃散寒）、tit bongt dangf mongb替笨挡蒙（理气止痛）
1355,vob det hlat葛豆刹（红禾麻）,冷,苦,冷药,热经,,dias jent caf net滇劫滁内（祛风除湿）
1356,det al hmaib豆阿潘（地肤子）,冷,苦,冷药,热经,,hxub hxab kib cat net旭嘎凯滁内（清热利水）、dangt gt gat挡祛卡（止痒）
1357,jab ghangb nen goix佳嘎陇给（对叶莲）,热,香、麻,热药,冷经,,tad jab yangk angt沓痂泱安（解毒消肿）
1358,xob haid萬鼾（茵陈）,冷,苦、微辛,冷药,热经,,hxub hxab kib caf net旭沓凯滁内（清热利湿）
1359,vob bik seix nlieb萬比赊幼（马蹄草）,冷,苦、微辛,冷药,热经,,hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）
1360,jab box vib佳保耶（石菖蒲）,热,麻、辣,热药,冷经,,caf nef 滁内（除湿）
1361,jab gangs saib佳巩山（苦参）,冷,苦,冷药,热经,,hxub hxab kid caf net旭嘎凯滁内（清热利湿）
1362,Jab Gangx Saib佳巩山（苦参）,冷,苦,冷药,热经,,Hxub Hxab Kid Caf Net旭嘎凯滁内（清热利湿）、Dias Jent Dib Gangb滇劫抵岗（祛风杀虫）
1363,Nangb Hxent Dlaib朗心沙（乌梢蛇）,热,甜、辛,热药,冷经,,Dias Jent Scix Loud滇劫赊洛（祛风通洛）Xud Jab墟瘢（排毒）
1364,野芝麻,,,,,,清热解毒
1365,vob hmak vongx萬朴翁（何首乌）,热,甜、微涩,热药,冷经,,yis hxangd怡象（养精血）
1366,姜蚕,,,,,,补气补血排毒
1367,vob dliangb dlik hniub嘎恨萬相学（牛莠子）,冷,苦,冷药,热经,,pot wos jent zangl zet迫渥劫漳止（疏散风热）、xeeb hfad nais pob yut卸复奈波雾（宣肺透疹）
1368,jax zengd git佳姜给（荆芥穗）,热,辣,热药,冷经,,did gangb dangf fut fat抵岗挡祛卡（杀虫止痒）
1369,vob eb wel萬欧吾（千里光）,热,辣、苦,热药,冷经,,hxub hxab kib tad jab 旭嘎凯沓痂（清热解毒）
1370,vob ghad dail lix萬嘎得里（百部）,冷,苦、微甜,冷药,热经,,杀虫
1371,baod jab nail eb鲍家利幼（草乌）,热,麻,热药,冷经,大毒,逐寒除湿
1372,jab gangx saib佳巩山（苦参）,冷,苦,冷药,热经,,hxub hxab kid caf net旭嘎凯滁内（清热利湿）、dias jent dib gangb滇劫抵岗（祛风杀虫）
1373,白蘇皮,,,,,,收敛解毒
1374,dab khob sob达柯芍（赤芍）,冷,苦,冷药,热经,,凉血散瘀、消肿止痛、消肝泻火、利水
1375,jax zengd git佳姜给（土荆芥）,热,辣,热药,冷经,,dangf fut fat挡祛卡（止痒）、dias jent滇劫（祛风）
1376,vob haib hxub萬灰秋（土大黄）,冷,苦、涩,冷药,热经,,hxub hxab kid tad jab旭嘎凯沓痂（清热解毒）、senb hxangd dangf hxangd赊象挡象（凉血止血）
1377,bang jab hxangd榜佳腔（金银花）,热,甜、微涩,热药,冷经,,hxub hxad kid tad jab旭嘎凯沓痂（清热解毒）、senb hxangd赊象（凉血）
1378,vob nix ngol萬里略（连翘）,冷,苦、微辛,冷药,热经,,zangl diod hxangd漳丢象（散瘀）
1379,vob khok ed葛壳欧（薄荷）,热,辛,热药,冷经,,pot wos jent zangl zet迫渥劫漳止（疏散风热）
1380,vob eb wel 萬欧吾（千里光）,热,辣、苦,热药,冷经,,hxub hxab kib旭嘎凯（清热）
1381,niangx hsaob nil仰造里（水螟蚣）,冷,辣,冷药,热经,,dangf mongb挡蒙（止痛）、pat wos jent caf net滇劫滁内（祛风利湿）
1382,jab liub hxangd佳榴腔（升麻）,热,辛,热药,冷经,,ves hxid seix loud维洗赊洛（疏筋活络）
1383,det al hmaib豆阿潘（铁扫帚）,冷,苦,冷药,热经,,hxub hxab kib cat net旭嘎凯滁内（清热利水）、dangt gt gat挡祛卡（止痒）
1384,ghok wouf nind高立日（天麻）,平,淡,两经药,,,熄风止痉、平肝抑阳、祛风通络
1385,jab laox liaod佳力略（钩藤）,热,微甜,热药,冷经,,hxub hxad kid旭嘎凯（清热）、ves sand维汕（养肝）、pot wos jent迫渥劫（熄风）
1386,vob bad nigax葛罢仰（夏枯草）,冷,苦、 微辛,冷药,热经,,nid nangl khob奴娘柯（治头晕）
1387,bes sok芍药（白芍）,冷,苦,冷药,热经,,养血柔肝、诸药合用补气养心血、安神
1388,葵花根,,,,,,止晕
1389,vob bel bat niab萬布罢娜（小蓟根）,冷,苦,冷药,热经,,khangd vut yis hvent hxangd 汗吾益萬象（滋补精血）、hxub hxab kid 旭嘎凯（清虚热）、dangf hxangd 挡象（止血止晕）
1390,vob hangt ghad萬项嘎（鸡矢藤）,热,甜、微涩,热药,冷经,,dias jent caf net滇劫滁内（祛风化痰）
1391,臭牡丹,,,,,,补气血、益肾
1392,jab heib khob加灰柯（头晕药）,热,辣,热药,冷经、快经、半边经,,tad biaox zangl seil沓标漳射（解表散寒）、hxub hxab sand yis hvent旭嘎汕怡渥（平肝养阴）、vex hxangd维象（活血）
1393,zand dlenx珍梱（桃仁）,冷,苦,冷药,热经,,vex hxangd seix loud维象赊洛（活血通络）、tad jab沓痂（解毒）
1394,dab khob sob达柯芍（赤芍）,冷,苦,冷药,热经,,凉血散瘀、消肝泻火
1395,gangh nangb jonb岗郎炯（地龙）,热,咸,热药,冷经、快经,,hxub hxab kib旭嘎凯（清热）、tab ngangl沓斡（定惊）、ves sand ves loud维汕维洛（疏筋活洛）
1396,诸药清热化痰,,,,,,止晕
1397,vob bad nigax萬罢仰（夏枯草）,冷,苦、微辛,冷药,热经,,
1398,bangx vob hvid榜萬芜（菊花）,冷,苦,冷药,热经、快经、半边经,,hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）
1399,vob nil lios bad葛里略巴（小远志）,冷,苦、微辛,冷药,热经,,jul ghad ngol dangfngol阶哈格格挡哦（化湿祛痰）
1400,det dent豆顿（杜仲）,热,甜,热药,冷经,,bud sand bud diuf补汕补丢（补肝肾）
1401,zend det vob bol珍豆萬播（枸杞）,热,甜,热药,冷经,,补肝肾、以上各药共起清热解毒、滋补肝肾、止晕的作用
1402,bel jal feib布佳菲（阎王刺）,冷,苦、涩,冷药,热经,,dias jent caf nef滇劫滁内（祛风除湿）
1403,jab vob gax nix佳萬姣米（蕾香）,热,辛,热药,冷经,,kxed dionb yangx nex荷桐泱内（温中化湿）
1404,厚朴,,,,,,宽胸理气
1405,baod zangd ghcnd dad苞姜给打（茯苓）,热,甜,热药,冷经,,Vas ebcaf net洼沃除内（利水渗湿）、maix diangl maix ves hxed麦靓麦韦荷相（健脾补中）
1406,vob nail lies萬芮榴（鱼瞅串）,冷,苦,冷药,热经、快经,,tit bongt hxib nongx替笨洗侬（理气消食）、hxab hxab kib caf net旭嘎凯滁内（清热利湿）
1407,det eb nix豆跃里（佩兰）,热,辛,热药,冷经,,醒脾、化湿、清暑
1408,vob ghanb nail萬嘎勒（蜘蛛香）,热,麻、辣,热药,冷经,,tit bongt dangf mongb替笨挡蒙（理气止痛）、dias jent tat jab滇劫沓痂（祛风解毒）灘白、燥湿理气
1409,陈皮,,,,,,顺气燥湿
1410,zend ded珍陡（茵仁）,平,甜、淡,两经药,,,maix dliangl maix ves nait麦靓麦韦芳（健脾）、vas net洼内（利湿）、hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）
1411,niangx ghab nex gix仰格陇给（淡竹叶）,冷,淡,冷药,热经,,hxub hxab kib caf mond旭嘎凯滁穆（清热除烦）
1412,zangd jangx珍姜（木姜子）,热,辛、微辣,热药,冷经,,zanglseil kxed diond漳射荷相（去冷温胃）、hangb bongt dangf mongd沆笨挡蒙（顺气止痛）、zaoknet sulqud造类素迄（去湿健胃）
1413,ghab jiongx ghab link det ghab dlul嘎炯嘎令豆嘎收（铁筷子）,热,麻、辣,热药,冷经,,tit bongt ghangb yub替笨夯宇（理气开郁）
1414,jab vob gax nix佳葛姣米（蕾香）,热,辛,热药,冷经,,hxub hxab kid tat biaox旭嘎凯沓标（清热解表）、kxed dionb yangx nex 荷桐泱内（温中化湿）
1415,zend mangb珍蟒（杏仁）,冷,苦,冷药,热经,小毒,止咳平喘、润肺通便
1416,vob jex bib bad萬祖另芭（前胡）,冷,苦、微辣,冷药,热经,,pot wos jent hxub hxab kid迫渥劫旭嘎凯（散风清热）、baix bongt jul ghad ngol摆笨阶哈格（降气化痰）
1417,vob diuk萬丢（折耳根）,热,酸、涩,热药,冷经,,hxub hxab kid tad jab旭嘎凯沓痂（清热解毒）
1418,ghab gangb ganl mangl嘎腔赶芒（麦芽）,热,甜,热药,冷经,,健脾和胃、行气消食
1419,vob hmid niangx萬米仰（马齿竟）,冷,酸、微苦涩,冷药,热经,,hxub hxab kib caf net旭嘎凯滁内（清热利湿）、senb hxangd tad jab赊象沓痂（凉血解毒）
1420,vob lox萬拿（刺桑）,冷,苦,冷药,热经,,dias jent scix loud 滇劫赊洛（祛风通络）、hxub hxad kib caf net旭嘎凯滁内（清热利湿）、tat jab yangk angt沓痂泱安（解毒消肿）
1421,ghod menl ghumb阿梅棍（金芥麦）,冷,酸、苦,冷药,热经,,理气助消化
1422,zend mangb珍蟒（杏仁）,冷,苦,冷药,热经,小毒,润肺通便
1423,kod las科辣（制半夏）,热,麻、辣,热药,冷经,,yangx nex diasg hab ngal泱内滇哈格（燥湿化痰）
1424,jab vob gax nix佳萬姣米（蕾香）,热,辛,热药,冷经,,hxub hxab kid tat biaox旭嘎凯沓标（除湿解表）、kxed dionb yangx nex荷桐泱内（温中化湿）
1425,vob dliangb dlik hniub嘎恨萬'相学（大力子）,冷,苦,冷药,热经,,pot wos jent zan- gl zet迫渥劫漳止（疏散风热）、xeeb hfad nais pob yut卸复奈波雾（宣肺解毒）
1426,桂枝,,,,,,辛温利湿
1427,zend ded珍陡（菠仁）,平,甜、淡,两经药,,,maix dliangl maix ves nait麦靓麦韦芳（健脾）、vas net洼内（利湿）
1428,zangd jangx珍姜（木姜子）,热,,,,,
1429,芦根,,,,,,清热利湿
1430,bang jab hxangd榜佳腔（银花）,热,甜、微涩,热药,冷经,,hxub hxad kid tad jab旭嘎凯沓痂（清热解毒）
1431,vob nix ngol萬里略（连翘）,冷,苦,冷药,热经,,senb hxangd赊象（凉血）
1432,niangx ghab nex gix仰格陇给（竹叶）,冷,淡,冷药,热经,,hxub hxab kib caf mond旭嘎凯滁穆（清热除烦）
1433,vob khok ed萬壳欧（薄荷）,热,辛,热药,冷经,,pot wos jent zangl zet迫渥劫漳止（疏散风热）
1434,ngix gheib ghob bad额给戈罢（桔梗）,冷,苦、微辛,冷药,热经,,xeeb hgad nais pob卸复奈波（宣肺）
1435,vob nil lios bad萬里略巴（瓜子金）,冷,苦、微辛,冷药,热经,,宁心安神
1436,jab bangx gangb佳榜岗（苕叶细辛）,热,辣,热药,冷经,小毒,tad biaox zangl seil沓标漳射（温经止痛散寒）
1437,ghab hnid vud嘎欧底（苏叶）,热,辛,热药,冷经,,hangb bongt ghangb yab沆笨夯宇（行气宽中）
1438,jab heib khob加灰柯（头晕药）,热,辣,热药,冷经、快经、半边经,,tad biaox zangl seil沓标漳射（解表散寒）、hxub hxab sand yis hvent旭嘎汕怡渥（平肝养阴）、vex hxangd yangk angt维象泱安（活血消肿）
